epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.2609,1.62787,1.42726,1.28959,0.72134,0.57675,0.65217,0.38105,1.34457,1.00825,1.06638,0.000415404,0.000415404,0.000415404
2,165.453,1.50328,1.01925,1.21327,0.74515,0.61821,0.6938,0.38092,1.48889,0.90734,1.10709,0.000823833,0.000823833,0.000823833
3,237.829,1.46465,0.9715,1.19963,0.7537,0.62624,0.70713,0.40136,1.45928,0.86753,1.10607,0.00122401,0.00122401,0.00122401
4,312.689,1.43093,0.93978,1.18493,0.78729,0.64468,0.73919,0.44546,1.30937,0.7922,1.05826,0.00121287,0.00121287,0.00121287
5,388.396,1.40933,0.89229,1.17346,0.79023,0.65917,0.74213,0.42831,1.40758,0.82909,1.07988,0.0012005,0.0012005,0.0012005
6,460.173,1.35265,0.8673,1.14289,0.79965,0.63315,0.73851,0.43832,1.35199,0.80905,1.04214,0.00118812,0.00118812,0.00118812
7,533.523,1.34064,0.84678,1.13915,0.81986,0.68707,0.77768,0.47627,1.30731,0.73682,1.04288,0.00117575,0.00117575,0.00117575
