epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,893.91,1.0252,0.59938,1.01385,0.894,0.79632,0.88323,0.64086,0.92818,0.50929,0.92086,0.000755,0.000755,0.000755
42,915.877,1.03085,0.60027,1.01594,0.89234,0.78348,0.87808,0.62174,0.9961,0.53135,0.93101,0.000742625,0.000742625,0.000742625
43,937.83,1.02181,0.58878,1.00686,0.88363,0.81224,0.8861,0.63499,0.96819,0.50821,0.92923,0.00073025,0.00073025,0.00073025
44,959.685,1.02074,0.58593,1.00489,0.88969,0.80346,0.88705,0.63411,0.96782,0.50939,0.92784,0.000717875,0.000717875,0.000717875
45,981.654,1.01447,0.58779,1.00622,0.86533,0.79962,0.87641,0.63845,0.91098,0.51064,0.91219,0.0007055,0.0007055,0.0007055
46,1003.62,1.00982,0.58446,1.00735,0.87196,0.79369,0.87934,0.63277,0.93504,0.5085,0.91899,0.000693125,0.000693125,0.000693125
47,1025.49,1.00389,0.57696,1.00469,0.87697,0.80641,0.88304,0.6429,0.91662,0.50787,0.91349,0.00068075,0.00068075,0.00068075
48,1047.49,1.00466,0.57606,1.00447,0.88409,0.79165,0.87984,0.62876,0.92821,0.5176,0.91703,0.000668375,0.000668375,0.000668375
49,1069.31,0.99816,0.56896,1.00063,0.8806,0.80364,0.88193,0.64623,0.88739,0.49873,0.90549,0.000656,0.000656,0.000656
50,1091.1,0.985,0.56963,1.00081,0.88417,0.79819,0.88459,0.64107,0.91018,0.50632,0.91125,0.000643625,0.000643625,0.000643625
51,1113.05,0.99539,0.57099,1.00028,0.88376,0.81264,0.89104,0.64659,0.93725,0.49292,0.91388,0.00063125,0.00063125,0.00063125
52,1134.95,0.98144,0.5649,1.00177,0.88901,0.80976,0.8902,0.64762,0.91939,0.49529,0.90993,0.000618875,0.000618875,0.000618875
53,1156.99,0.97937,0.56439,0.99596,0.88743,0.80405,0.88904,0.65121,0.89162,0.50194,0.90845,0.0006065,0.0006065,0.0006065
54,1178.77,0.98317,0.56027,0.99447,0.89362,0.79881,0.88422,0.64826,0.89651,0.50219,0.90355,0.000594125,0.000594125,0.000594125
55,1200.86,0.98076,0.56111,0.9997,0.90302,0.80927,0.89309,0.65912,0.88708,0.48459,0.90016,0.00058175,0.00058175,0.00058175
56,1222.74,0.9809,0.55927,0.99121,0.90636,0.80978,0.89165,0.65999,0.88902,0.48536,0.90392,0.000569375,0.000569375,0.000569375
57,1244.64,0.96663,0.55323,0.99197,0.90183,0.81606,0.89806,0.66506,0.88036,0.47098,0.8984,0.000557,0.000557,0.000557
58,1266.58,0.96812,0.55865,0.99387,0.90075,0.81279,0.89573,0.65243,0.92887,0.49531,0.91454,0.000544625,0.000544625,0.000544625
59,1288.47,0.96122,0.54673,0.98788,0.90087,0.82118,0.89946,0.66289,0.89401,0.48582,0.90113,0.00053225,0.00053225,0.00053225
60,1310.28,0.96913,0.5476,0.98645,0.90145,0.82116,0.90013,0.66679,0.8789,0.47061,0.89841,0.000519875,0.000519875,0.000519875
61,1332.34,0.94719,0.54176,0.98656,0.89899,0.81119,0.89876,0.6678,0.87012,0.46922,0.89972,0.0005075,0.0005075,0.0005075
62,1354.34,0.9542,0.54206,0.98209,0.90481,0.82424,0.90216,0.67549,0.85716,0.46717,0.89075,0.000495125,0.000495125,0.000495125
63,1376.31,0.96095,0.54109,0.98381,0.89055,0.81296,0.89455,0.66538,0.86449,0.48447,0.89559,0.00048275,0.00048275,0.00048275
64,1398.21,0.9444,0.53963,0.97825,0.9009,0.82457,0.90098,0.66603,0.88496,0.46709,0.89797,0.000470375,0.000470375,0.000470375
65,1420.15,0.93618,0.53074,0.97672,0.9095,0.82161,0.90313,0.67451,0.86166,0.45898,0.89361,0.000458,0.000458,0.000458
66,1441.89,0.93588,0.53157,0.97758,0.90973,0.82597,0.90498,0.67548,0.87454,0.45647,0.8983,0.000445625,0.000445625,0.000445625
67,1463.8,0.9372,0.53135,0.97738,0.90303,0.82879,0.90507,0.67851,0.84605,0.45309,0.89261,0.00043325,0.00043325,0.00043325
68,1485.6,0.93608,0.52705,0.97352,0.90568,0.82761,0.90358,0.6761,0.85086,0.45911,0.89261,0.000420875,0.000420875,0.000420875
69,1507.52,0.93392,0.52451,0.97501,0.90501,0.82229,0.90226,0.67757,0.8531,0.45597,0.89146,0.0004085,0.0004085,0.0004085
70,1529.44,0.92884,0.52266,0.97573,0.90232,0.83508,0.90731,0.68402,0.8388,0.45281,0.89255,0.000396125,0.000396125,0.000396125
71,1551.43,0.91577,0.52072,0.97479,0.90233,0.83245,0.90799,0.67997,0.85892,0.4551,0.8958,0.00038375,0.00038375,0.00038375
72,1573.21,0.92147,0.52365,0.97552,0.90957,0.82757,0.90674,0.68497,0.83798,0.44437,0.89057,0.000371375,0.000371375,0.000371375
73,1595.18,0.91301,0.5147,0.97031,0.90591,0.82947,0.90872,0.68729,0.8309,0.44472,0.88693,0.000359,0.000359,0.000359
74,1617.03,0.91828,0.51405,0.97408,0.90123,0.83328,0.90758,0.68138,0.85222,0.44869,0.89054,0.000346625,0.000346625,0.000346625
75,1638.89,0.90633,0.50975,0.96829,0.90672,0.84,0.91184,0.68769,0.83596,0.44288,0.89029,0.00033425,0.00033425,0.00033425
76,1660.93,0.90771,0.50976,0.96867,0.90296,0.83745,0.91015,0.68661,0.84321,0.4476,0.88842,0.000321875,0.000321875,0.000321875
77,1682.88,0.90838,0.50804,0.9631,0.9091,0.82596,0.91003,0.68457,0.84339,0.44662,0.88836,0.0003095,0.0003095,0.0003095
78,1704.85,0.90692,0.50499,0.96624,0.90468,0.83665,0.91183,0.68863,0.82968,0.44143,0.88643,0.000297125,0.000297125,0.000297125
79,1726.71,0.89265,0.50163,0.96248,0.91191,0.8374,0.91188,0.68876,0.83377,0.43743,0.88497,0.00028475,0.00028475,0.00028475
80,1748.56,0.89433,0.50243,0.96874,0.90557,0.84464,0.91141,0.68962,0.81984,0.43294,0.88301,0.000272375,0.000272375,0.000272375
81,1770.51,0.89176,0.49924,0.96316,0.91773,0.82516,0.9109,0.69103,0.82184,0.43552,0.8829,0.00026,0.00026,0.00026
82,1792.48,0.88193,0.49348,0.96108,0.90828,0.83967,0.91133,0.69299,0.82681,0.43391,0.88344,0.000247625,0.000247625,0.000247625
83,1814.59,0.87773,0.49219,0.96158,0.91037,0.83751,0.91123,0.68903,0.82973,0.43675,0.88475,0.00023525,0.00023525,0.00023525
84,1836.66,0.88517,0.49531,0.95825,0.9,0.84874,0.91352,0.69439,0.81535,0.43135,0.88284,0.000222875,0.000222875,0.000222875
85,1858.71,0.87153,0.48728,0.96075,0.90907,0.84404,0.91341,0.693,0.82124,0.43152,0.88427,0.0002105,0.0002105,0.0002105
86,1880.8,0.88273,0.49288,0.9575,0.90315,0.84754,0.91283,0.68899,0.82576,0.43229,0.88581,0.000198125,0.000198125,0.000198125
87,1902.74,0.87773,0.48892,0.95813,0.90506,0.83887,0.91261,0.69032,0.819,0.43099,0.88451,0.00018575,0.00018575,0.00018575
88,1924.57,0.87641,0.48926,0.95687,0.91277,0.84145,0.9126,0.69682,0.81182,0.42855,0.88105,0.000173375,0.000173375,0.000173375
89,1946.57,0.88076,0.49231,0.95944,0.90835,0.84485,0.9145,0.69202,0.83683,0.43356,0.88745,0.000161,0.000161,0.000161
90,1968.65,0.87069,0.48402,0.96056,0.91376,0.84173,0.91518,0.69923,0.80455,0.42307,0.88117,0.000148625,0.000148625,0.000148625
91,1991.41,0.81886,0.42818,0.92535,0.8992,0.84168,0.90945,0.69144,0.81327,0.43105,0.88336,0.00013625,0.00013625,0.00013625
92,2013.27,0.80909,0.4208,0.92148,0.90373,0.84105,0.90932,0.69088,0.82126,0.43443,0.88489,0.000123875,0.000123875,0.000123875
93,2035.13,0.80223,0.41896,0.91628,0.91489,0.83598,0.91241,0.69639,0.80475,0.42624,0.88038,0.0001115,0.0001115,0.0001115
94,2057.07,0.79717,0.41486,0.91831,0.90732,0.83874,0.91076,0.69113,0.81988,0.43307,0.88441,9.9125e-05,9.9125e-05,9.9125e-05
95,2078.94,0.79042,0.41296,0.91209,0.90564,0.84512,0.9138,0.70039,0.80496,0.42127,0.87939,8.675e-05,8.675e-05,8.675e-05
96,2100.66,0.78246,0.4083,0.91006,0.90389,0.84816,0.91504,0.70052,0.80451,0.42264,0.87906,7.4375e-05,7.4375e-05,7.4375e-05
97,2122.45,0.77764,0.40491,0.90743,0.90099,0.84444,0.9129,0.69996,0.80638,0.42433,0.87924,6.2e-05,6.2e-05,6.2e-05
98,2144.24,0.78378,0.4072,0.91327,0.90573,0.84639,0.91316,0.69996,0.80139,0.4226,0.87865,4.9625e-05,4.9625e-05,4.9625e-05
99,2166.22,0.77458,0.40506,0.90496,0.90131,0.84495,0.91328,0.7001,0.80021,0.42332,0.87891,3.725e-05,3.725e-05,3.725e-05
100,2188.21,0.77226,0.40167,0.9099,0.90618,0.84024,0.91342,0.69909,0.80269,0.4238,0.87938,2.4875e-05,2.4875e-05,2.4875e-05
